ID,Title,Author,Year,Format,File
1,Mother's Orchids,Debby Lukito Goeyardi,2024,PDF,ebook/Mothers's Orchids.pdf
2,Biji Merah Luna,Ammy Kudo,2022,PDF,ebook/Biji Merah Luna.pdf
3,Lima Pandawa Penglipuran,Izzah Annisa dkk,2023,PDF,ebook/Lima Pandawa Penglipuran.pdf
4,Later,Fransisca Emilia dkk,2024,PDF,ebook/Later.pdf
5,Kimu Cake,Lia Herliana,2024,PDF,ebook/Kimu Cake.pdf
6,Ini atau Itu,Barbara Eni,2022,PDF,ebook/Ini atau Itu.pdf
7,Kesatria Penjaga,Fransisca Emilia,2023,PDF,ebook/Kesatria Penjaga.pdf
8.Tiup Tiup,Ana Falesthein T. A,2022,PDF,ebook/Tiup Tiup.pdf
9,Beyond the Bookshelf,Dr.Tengku Siti Meriam,2025,ebook/Beyond the Bookshelf.pdf
10.Matematika Kelas XII Buku Guru,Abdur Rahman As’ari dkk,2018,ebook/Matematika Kelas XII Buku Guru.pdf

